ID,First Name,Last Name,DOB,Role,Money Available,Flights Purchased,MinerAir Membership,Username,Password
1,Mickey,Mouse,2/29/36,Customer,94.586914,7,true,mickeymouse,Fun!23
2,Donald,Duck,3/21/17,Customer,672.04004,2,true,donaldduck,Fun!23
3,Minnie,Mouse,11/23/42,Customer,1149.5029,2,false,minniemouse,Fun!23
4,Goofy,Disney,6/10/34,Customer,937.5756,2,false,goofydisney,Fun!23
5,Pluto,Disney,8/5/95,Customer,2080.396,1,true,plutodisney,Fun!23
6,Chip,Disney,11/28/41,Customer,1816.7299,8,false,chipdisney,Fun!23
7,Dale,Disney,10/8/50,Customer,1414.6775,3,false,daledisney,Fun!23
8,Cinderella,Disney,4/9/98,Customer,2029.44,5,false,cinderelladisney,Fun!23
9,Ariel,Disney,3/12/37,Customer,147.2948,4,true,arieldisney,Fun!23
10,Jasmine,Disney,3/22/02,Customer,667.2202,1,true,jasminedisney,Fun!23
11,Aladdin,Disney,11/3/66,Customer,3428.2307,4,true,aladdindisney,Fun!23
12,Simba,Disney,3/23/29,Customer,411.81982,2,true,simbadisney,Fun!23
13,Mufassa,Disney,1/24/00,Customer,330.28906,1,true,mufassadisney,Fun!23
14,Aurora,Disney,7/18/62,Customer,1882.4722,2,true,auroradisney,Fun!23
15,Peter,Pan,12/26/30,Customer,1407.5557,5,true,peterpan,Fun!23
16,Woody,Disney,2/20/91,Customer,608.1753,6,false,woodydisney,Fun!23
17,Buzz,Lightyear,12/2/27,Customer,701.55994,1,true,buzzlightyear,Fun!23
18,Jafar,Aladdin,3/16/28,Customer,580.9248,4,false,jafaraladdin,Fun!23
19,Ursela,Mermaid,1/11/94,Customer,3336.139,1,true,urselamermaid,Fun!23
20,Beast,Disney,1/18/44,Customer,2623.083,3,true,beastdisney,Fun!23
21,Belle,Disney,10/13/15,Customer,1958.5829,1,false,belledisney,Fun!23
22,Cruella,De Vil,12/12/23,Customer,1909.7039,5,false,cruellade vil,Fun!23
23,Scar,Lion,5/10/75,Customer,92.5957,8,true,scarlion,Fun!23
24,Simba,King,9/20/97,Customer,263.62354,3,true,simbaking,Fun!23
25,Gaston,Disney,6/12/32,Customer,3810.102,1,true,gastondisney,Fun!23
26,Shere,Khan,2/18/74,Customer,2442.2603,1,false,sherekhan,Fun!23
27,Captaiin,Hook,8/18/88,Customer,2149.638,1,false,captaiinhook,Fun!23
28,Kaa,Disney,1/27/43,Customer,980.1499,2,false,kaadisney,Fun!23
29,Evil,Queen,1/1/58,Customer,570.32324,5,true,evilqueen,Fun!23
30,Pinocchio,Disney,6/25/83,Customer,184.31982,1,false,pinocchiodisney,Fun!23
31,Prince,Eric,7/11/07,Customer,813.36475,3,false,princeeric,Fun!23
32,Quasimodo,Disney,11/12/78,Customer,4740.37,2,true,quasimododisney,Fun!23
33,Hercules,Disney,6/16/18,Customer,2817.434,3,true,herculesdisney,Fun!23
34,Mulan,Disney,2/5/87,Customer,277.74255,1,false,mulandisney,Fun!23
35,Lilo,Disney,8/9/34,Customer,1520.5889,1,true,lilodisney,Fun!23
36,Stitch,Disney,5/16/35,Customer,2895.2256,7,true,stitchdisney,Fun!23
37,Daniel,Mejia,2/22/84,Employee,56.20996,7,true,danielmejia,Fun!23
38,Ashley,Gilmore,2/3/72,Employee,11.354706,4,true,ashleygilmore,Fun!23
39,Diana,Valles,10/27/05,Employee,484.92102,8,true,dianavalles,Fun!23
40,Isabella,Gaytan,10/9/09,Employee,902.3965,1,true,isabellagaytan,Fun!23
41,Diana,Garcia,2/27/60,Employee,990.9264,1,false,dianagarcia,Fun!23
42,Alexis,Acosta,6/8/80,Employee,196.08575,4,true,alexisacosta,Fun!23
43,Akinyemi,Akinjayeju,5/21/18,Employee,3214.3672,6,false,akinyemiakinjayeju,Fun!23
44,Bryan,Arriaga,12/22/73,Employee,0.42355347,4,true,bryanarriaga,Fun!23
45,Jessica,Barragan,6/21/07,Employee,4521.708,6,false,jessicabarragan,Fun!23
46,Ruben,CarmonaMedrano,6/6/87,Employee,986.078,1,true,rubencarmonamedrano,Fun!23
47,Brandon,CartwrightLi,11/9/28,Employee,625.272,4,true,brandoncartwrightli,Fun!23
48,Jasmin,Cuevas,7/14/33,Employee,856.0247,1,false,jasmincuevas,Fun!23
49,Luis,Del Campo,4/18/40,Employee,254.80353,5,true,luisdel campo,Fun!23
50,Garab,Dorji,11/7/75,Employee,155.87965,1,true,garabdorji,Fun!23
51,Marc,Driver,6/3/84,Employee,62.29454,1,false,marcdriver,Fun!23
52,Jose,Espinoza Gonzalez,6/19/18,Employee,119.5957,4,true,joseespinoza gonzalez,Fun!23
53,Alondra,GonzalezAyala,4/12/04,Employee,575.15295,5,true,alondragonzalezayala,Fun!23
54,Omar,Hoang,10/10/39,Employee,1032.1967,3,true,omarhoang,Fun!23
55,Ian,Islas,3/22/81,Employee,1372.7961,2,true,ianislas,Fun!23
56,Victor,Lopez,8/31/51,Employee,210.23657,7,true,victorlopez,Fun!23
57,Denisse,LoyaVillalobos,1/29/53,Employee,1457.3586,4,true,denisseloyavillalobos,Fun!23
58,Miguel,Lucero,11/18/33,Employee,245.09473,3,false,miguellucero,Fun!23
59,Daniel,Lucio,2/26/67,Employee,257.60266,2,true,daniellucio,Fun!23
60,Ashley,Magallanes,10/18/27,Employee,146.30127,5,true,ashleymagallanes,Fun!23
61,Leila,Martinez,12/17/88,Employee,230.6565,8,true,leilamartinez,Fun!23
62,Enrique,Munoz,9/7/29,Employee,355.52954,4,true,enriquemunoz,Fun!23
63,Alejandro,Olivas,12/12/90,Employee,836.6312,5,false,alejandroolivas,Fun!23
64,Santiago,Olivas,5/11/42,Employee,299.2804,5,true,santiagoolivas,Fun!23
65,Bella,Quintero,8/29/05,Employee,3565.398,1,true,bellaquintero,Fun!23
66,Samuel,RamosSanchez,9/29/26,Employee,419.3725,8,true,samuelramossanchez,Fun!23
67,Enrique,Rico,3/26/18,Employee,62.56067,7,false,enriquerico,Fun!23
68,Emilia,Rivas,11/24/87,Employee,995.4414,1,false,emiliarivas,Fun!23
69,Mayra,Robles,10/16/26,Employee,3613.6035,7,true,mayrarobles,Fun!23
70,Brian,RodilesDelgado,9/13/32,Employee,1640.5978,8,true,brianrodilesdelgado,Fun!23
71,Seth,Rodriguez,2/22/44,Employee,349.19928,2,true,sethrodriguez,Fun!23
72,Jorge,RodriguezOrtega,7/8/55,Employee,975.78687,1,true,jorgerodriguezortega,Fun!23
73,Jose Luis,Rojas,3/16/25,Employee,43.703613,2,true,jose luisrojas,Fun!23
74,Eduardo,Romero,3/8/35,Employee,5074.245,7,false,eduardoromero,Fun!23
75,Gustavo,Rubio,9/16/42,Employee,412.00693,2,true,gustavorubio,Fun!23
76,Sariyah,Russell,7/23/14,Employee,90.66617,1,false,sariyahrussell,Fun!23
77,Ian,Rybak,7/28/09,Employee,114.00693,4,false,ianrybak,Fun!23
78,Luis,Sanchez,12/4/48,Employee,957.72675,1,true,luissanchez,Fun!23
79,Michael,Santoyo,4/28/47,Employee,172.3237,3,true,michaelsantoyo,Fun!23
80,Gabriela,SigalaAcosta,1/6/02,Employee,1073.1256,5,false,gabrielasigalaacosta,Fun!23
81,Andres,Soto,9/13/37,Employee,1.8436279,6,true,andressoto,Fun!23
82,Gabriel,Terrazas,9/17/44,Employee,808.70605,5,true,gabrielterrazas,Fun!23
83,Sonam,Tshering,4/9/56,Employee,443.1012,3,false,sonamtshering,Fun!23
84,Christina,Valtierra,12/15/12,Employee,240.97559,3,false,christinavaltierra,Fun!23
85,Francisco,Vazquez,4/13/29,Employee,1726.7924,3,false,franciscovazquez,Fun!23
86,Andrea,Villagomez,9/10/82,Employee,43.284973,2,true,andreavillagomez,Fun!23
87,Alberto,Villegas,12/6/20,Employee,54.899628,1,false,albertovillegas,Fun!23
88,Geoff,Waller,7/29/31,Employee,453.69116,1,true,geoffwaller,Fun!23
89,Jeffrey,Walls,2/3/52,Employee,825.0825,5,false,jeffreywalls,Fun!23
90,Alex,Watson,9/14/49,Employee,348.6637,1,true,alexwatson,Fun!23
91,Tom,Perez,4/2/54,Employee,409.00443,1,true,tomperez,Fun!23
92,Brad,Patel,12/17/84,Employee,1376.751,4,false,bradpatel,Fun!23
93,Robert,Lyons,4/1/83,Employee,198.6792,2,false,robertlyons,Fun!23
94,Dana,Williams,3/7/19,Employee,1972.7095,4,true,danawilliams,Fun!23
95,Brittany,Andrews,2/2/94,Employee,48.684265,2,true,brittanyandrews,Fun!23
96,Sean,Klein,2/26/82,Employee,4112.0396,5,true,seanklein,Fun!23
97,Stephanie,Mcdonald,8/26/57,Employee,151.57904,7,true,stephaniemcdonald,Fun!23
98,Daniel,Olson,12/21/17,Employee,46.511475,1,true,danielolson,Fun!23
99,Christopher,Contreras,6/5/42,Employee,279.32138,2,true,christophercontreras,Fun!23
100,David,Brown,10/26/93,Employee,2966.927,2,true,davidbrown,Fun!23
101,Patrick,Henderson,2/13/84,Employee,1797.273,6,false,patrickhenderson,Fun!23
102,Erica,Harrison,6/18/10,Employee,276.77872,2,false,ericaharrison,Fun!23
103,Katherine,Evans,11/27/95,Employee,562.4525,3,false,katherineevans,Fun!23
104,Robert,Preston,9/25/10,Employee,925.05774,1,true,robertpreston,Fun!23
105,Melissa,Mccormick,6/15/15,Employee,223.33466,2,true,melissamccormick,Fun!23
106,Austin,Griffin,3/28/00,Employee,102.072266,1,false,austingriffin,Fun!23
107,Michael,Sanchez,4/23/51,Employee,332.3058,1,true,michaelsanchez,Fun!23
108,Theresa,Obrien,8/28/49,Employee,409.26672,8,false,theresaobrien,Fun!23
109,Chelsea,Gallagher,8/2/29,Employee,313.3734,6,true,chelseagallagher,Fun!23
110,Crystal,Hudson,1/4/32,Employee,127.97815,7,true,crystalhudson,Fun!23
111,Travis,Mcdonald,11/7/37,Employee,1456.7217,2,false,travismcdonald,Fun!23
112,Logan,Palmer,12/8/78,Employee,723.86584,6,true,loganpalmer,Fun!23
113,Renee,Bradley,12/30/22,Employee,1222.474,5,false,reneebradley,Fun!23
114,Michele,Stevens,6/23/84,Employee,44.812607,2,true,michelestevens,Fun!23
115,Kirsten,Robinson,4/14/33,Employee,1150.4453,1,true,kirstenrobinson,Fun!23
116,Douglas,Rodriguez,3/27/38,Employee,2535.7427,6,false,douglasrodriguez,Fun!23
117,Christopher,Norris,1/18/64,Employee,64.86951,7,false,christophernorris,Fun!23
118,Crystal,Walker,3/18/65,Employee,35.286224,5,false,crystalwalker,Fun!23
119,Sean,Roberts,12/14/47,Employee,3080.9102,2,false,seanroberts,Fun!23
120,Brittany,Hawkins,7/12/08,Employee,1759.6409,4,false,brittanyhawkins,Fun!23
121,Beverly,Johnson,8/27/86,Employee,4669.323,5,false,beverlyjohnson,Fun!23
122,Stephen,Ellis,8/8/55,Employee,323.1797,4,true,stephenellis,Fun!23
123,James,King,4/8/22,Employee,302.22595,1,false,jamesking,Fun!23
124,Pamela,Carter,12/30/94,Employee,415.09595,8,true,pamelacarter,Fun!23
125,Brian,Andrews,10/15/56,Employee,348.65286,3,true,brianandrews,Fun!23
126,Megan,Noble,12/27/50,Employee,30.946793,1,false,megannoble,Fun!23
